station_name,hour,day_of_week_num,actual_rides,predicted_rides
Blue Island Ave & 18th St,8,4,1,1.1071787168120308
Mies van der Rohe Way & Chestnut St,23,6,1,1.0558375086127711
Clark St & Schiller St,8,2,1,2.6534692898690584
LaSalle St & Jackson Blvd,15,5,1,1.4438819706798398
Clark St & Lincoln Ave,15,0,1,1.2063751568792451
Fairbanks Ct & Grand Ave,19,6,2,1.3575081941431588
Lake Park Ave & 53rd St,8,4,1,1.1071787168120308
Halsted St & 35th St,15,6,1,1.2632488713590364
Halsted St & 18th St,5,1,1,1.041498830114872
Larrabee St & Menomonee St,19,4,1,1.2245085856834352
Broadway & Sheridan Rd,1,5,1,1.455554197441611
Larrabee St & Webster Ave,19,4,1,1.2306825514013746
Clark St & North Ave,16,0,1,1.246283182143123
Kilbourn Ave & Irving Park Rd,5,4,1,1.0625994258411127
Kedzie Ave & Milwaukee Ave,13,0,1,1.167775004839899
Ashland Ave & Chicago Ave,12,4,1,1.2131693561087677
Canal St & Adams St,17,2,2,4.98962907611824
Honore St & Division St,7,4,1,1.1635583036412065
Fairbanks Ct & Grand Ave,19,2,1,1.506062151376017
Damen Ave & Thomas St (Augusta Blvd),17,0,1,1.2495641631015235
Lakeview Ave & Fullerton Pkwy,6,1,1,1.1173676533868926
Clark St & Lincoln Ave,7,4,1,1.2548334517810822
Central St Metra,20,5,1,1.12723311544022
Broadway & Belmont Ave,16,5,1,1.3711114478761828
DuSable Lake Shore Dr & Monroe St,16,5,3,2.4552914329097124
State St & 33rd St,19,2,2,1.258710239862583
Broadway & Sheridan Rd,7,0,1,1.1794658952200883
Rush St & Superior St,20,2,1,1.2255563483889378
Daley Center Plaza,18,2,10,3.2813668472050805
Halsted St & Roscoe St,18,1,2,1.6059929685961987
Campbell Ave & Fullerton Ave,17,0,1,1.2164119640503555
Wabash Ave & 9th St,17,5,1,1.2421153495638213
Ada St & Washington Blvd,14,0,1,1.127865480591575
Wentworth Ave & 35th St,10,1,1,1.075637451652757
Racine Ave & Congress Pkwy,9,5,1,1.108574818968722
Michigan Ave & Madison St,16,1,1,1.7376070395568786
Wells St & Polk St,16,3,1,2.03074669270103
State St & 35th St,16,5,1,1.3665205387852737
Delano Ct & Roosevelt Rd,10,5,2,1.1054058450691668
W Armitage Ave & N Sheffield Ave,14,3,1,1.1217928250794458
Loomis St & Archer Ave,17,5,1,1.2332360077474673
Dearborn St & Van Buren St,10,5,1,1.1807899978758143
Michigan Ave & 14th St,12,2,2,1.399449941061513
Wabash Ave & Wacker Pl,0,5,2,1.4626104592660862
Sheridan Rd & Noyes St (NU),20,3,1,1.2071330955185215
Sheffield Ave & Wrightwood Ave,20,1,1,1.4292184550688498
Humboldt Blvd & Armitage Ave,6,0,1,1.0898273090881414
State St & 33rd St,22,6,1,1.0648244018029092
Clybourn Ave & Division St,10,0,1,1.1236101867659571
Elston Ave & Cortland St,13,4,1,1.119288127733341
Damen Ave & Cortland St,11,3,1,1.1687106127270181
Fairbanks Ct & Grand Ave,12,1,1,1.439006331394911
Damen Ave & Thomas St (Augusta Blvd),13,6,1,1.2018231671885145
Broadway & Cornelia Ave,18,1,4,1.2714705960085575
Wells St & Elm St,10,4,1,1.592876228389773
California Ave & 21st St,19,5,1,1.2314323412467694
Clark St & Armitage Ave,9,5,1,1.5709622606021565
Chicago Ave & Sheridan Rd,21,2,1,1.1281006383633727
Broadway & Berwyn Ave,8,3,1,1.2423390749510035
Homewood Ave & 115th St,14,4,1,1.1130107504392892
Clinton St & Lake St,15,3,2,1.3575504931441547
Ashland Ave & Blackhawk St,17,1,2,1.4854316847879345
Dearborn St & Van Buren St,19,3,1,1.2532653417774748
Morgan St & Polk St,18,3,1,1.8441041178314197
New St & Illinois St,15,1,1,1.2450253367199233
Halsted St & 37th St,16,5,1,1.3665205387852737
Clark St & Randolph St,10,4,1,1.6630942270292866
Dayton St & North Ave,14,5,1,1.474186032727177
Western Ave & Lunt Ave,6,0,1,1.0890045242780146
Cornell Dr & Hayes Dr,15,5,1,1.4144126813156441
Clark St & Wellington Ave,7,3,1,1.1796654440086038
Financial Pl & Ida B Wells Dr,16,4,1,1.4046856638970857
Larrabee St & Webster Ave,20,5,1,1.127884455569937
Halsted St & Wrightwood Ave,17,4,1,2.1039323684141795
Wells St & Elm St,13,0,1,1.259333418215771
California Ave & North Ave,15,2,1,1.2415411180475604
Michigan Ave & 14th St,12,4,1,1.220771009962115
Sheffield Ave & Webster Ave,14,1,2,1.2238811648920764
Ellis Ave & 60th St,10,5,6,2.108997001149865
Michigan Ave & Washington St,12,3,2,1.9406448573179267
Olive Harvey College,19,0,1,1.1805392635627725
Clark St & Lincoln Ave,5,4,1,1.0625994258411127
California Ave & Francis Pl (Temp),16,6,1,1.2525335362061483
Blue Island Ave & 18th St,19,1,1,1.222736495082406
Ashland Ave & Division St,22,0,2,1.2162044893885384
Sheridan Rd & Montrose Ave,17,3,1,1.9263767764256363
Michigan Ave & Washington St,8,2,1,1.8813254450228134
Stockton Dr & Wrightwood Ave,19,0,1,1.1847180075241253
Damen Ave & Pierce Ave,11,3,1,1.3549350209608273
Michigan Ave & Washington St,11,2,1,1.1132442079347733
Ashland Ave & Blackhawk St,12,3,1,1.180258032225772
Halsted St & Polk St,14,6,2,1.663352773024012
Greenview Ave & Diversey Pkwy,2,5,1,1.42737785814813
Federal St & Polk St,20,1,1,1.2489615694580243
Wilton Ave & Diversey Pkwy,17,5,1,1.292012634801196
Wilton Ave & Belmont Ave,1,5,1,1.455554197441611
Damen Ave & Leland Ave,17,1,3,1.225224994983817
Clinton St & Washington Blvd,20,3,2,1.2466378142246268
Throop St & Taylor St,11,4,1,1.3536443899464217
Clark St & Randolph St,14,1,1,1.3012156422210435
Rush St & Hubbard St,18,1,1,1.9091644469020699
Dearborn St & Monroe St,18,2,1,1.8030016586011166
Broadway & Ridge Ave,19,4,1,1.2226529155803425
Kingsbury St & Kinzie St,13,2,1,2.393557831186701
Elston Ave & Cortland St,15,2,1,1.2443268323332748
DuSable Lake Shore Dr & North Blvd,11,5,1,1.182839343738719
DuSable Lake Shore Dr & Diversey Pkwy,18,6,1,1.1679082918906813
Carpenter St & Huron St,8,4,3,1.3420546590776488
Wells St & Huron St,19,3,1,1.5086259901258896
Campbell Ave & North Ave,8,2,1,1.1637529443288674
LaSalle St & Jackson Blvd,8,2,2,1.4270886838757832
Western Ave & Walton St,16,2,1,1.1416309068596449
Desplaines St & Kinzie St,11,4,3,1.6206903435831452
State St & Kinzie St,19,1,1,1.2155634119974272
Racine Ave & Randolph St,14,6,1,1.1716496071361593
Clark St & Bryn Mawr Ave,11,6,1,1.182879176495037
Canal St & Monroe St,18,1,2,2.047942431489699
Milwaukee Ave & Wabansia Ave,11,0,1,1.1576317212183078
Canal St & Monroe St,20,3,1,1.1662101100161524
Wood St & Chicago Ave,14,5,1,1.1938722491715363
Indiana Ave & Roosevelt Rd,18,2,1,1.7252145331889137
Clark St & Schiller St,22,4,1,1.235163801857513
Throop St & Taylor St,10,5,1,1.1523449294453953
Wabash Ave & Roosevelt Rd,8,1,1,1.4833049278359878
Halsted St & Polk St,9,1,2,1.1316762957403421
Wood St & Augusta Blvd,16,4,1,1.180059849982925
Canal St & Madison St,12,1,1,1.1978003804661403
Woodlawn Ave & 55th St,12,6,2,1.43390733047677
LaSalle St & Illinois St,20,0,1,1.5033747937904216
Damen Ave & Grand Ave,11,6,1,1.1732333330255538
Milwaukee Ave & Grand Ave,10,4,1,1.2721133096485533
Morgan St & Lake St,10,4,3,1.2580937084390629
Sheridan Rd & Lawrence Ave,15,2,1,1.230902217334373
Wood St & Milwaukee Ave,8,0,1,1.482888059867551
Southport Ave & Wellington Ave,18,5,1,1.310202982295178
Lincoln Ave & Addison St,19,4,1,1.2245085856834352
Wood St & Milwaukee Ave,12,6,2,1.1661757477662622
Humboldt Blvd & Armitage Ave,7,4,1,1.1635583036412065
Clarendon Ave & Gordon Ter,10,0,1,1.1788531989992048
Clark St & Montrose Ave,16,6,1,1.2525335362061483
Sheffield Ave & Wrightwood Ave,23,3,1,1.1428393926213514
Clinton St & Jackson Blvd,20,0,2,1.1306526136738935
Milwaukee Ave & Rockwell St,16,5,1,1.3665205387852737
May St & Taylor St,12,6,1,1.308264181294687
Ellis Ave & 60th St,15,3,5,2.1699157380673078
Green St & Madison St,17,0,1,2.193166944094856
Federal St & Polk St,15,3,2,1.3407476979795925
Clark St & Armitage Ave,6,4,1,1.1051108616714995
Peoria St & Jackson Blvd,14,4,4,1.5202087948932321
Ellis Ave & 60th St,14,2,1,2.609815723492194
Wood St & Augusta Blvd,6,0,1,1.3300295157245157
State St & Harrison St,9,3,1,1.2060676805813442
Aberdeen St & Jackson Blvd,17,5,1,1.2427033243824281
Halsted St & Wrightwood Ave,10,2,1,1.1611025260924195
Western Ave & Walton St,7,4,1,1.181842260860458
LaSalle St & Illinois St,6,5,1,1.0586878484077191
Emerald Ave & 31st St,17,5,1,1.2762614927931941
Stetson Ave & South Water St,10,1,1,1.2910039857720543
Lincoln Ave & Diversey Pkwy,17,1,2,2.0733644451692546
Ellis Ave & 55th St,17,3,1,2.5377383284070594
Desplaines St & Jackson Blvd,19,3,2,1.4878040026644672
Rush St & Superior St,22,4,1,1.1316708912977445
University Ave & 57th St,17,2,3,3.026493969910379
Western Ave & Monroe St,15,0,1,1.2063751568792451
Broadway & Berwyn Ave,8,4,1,1.1688963909331334
Franklin St & Lake St,16,4,1,3.7781975008995135
Western Ave & Lunt Ave,6,2,2,1.1565470495060193
Sheridan Rd & Noyes St (NU),15,0,1,1.2114986136693686
Lincoln Ave & Belmont Ave,19,2,1,1.2447293842707992
Halsted St & Polk St,16,2,1,2.491751561546659
Wells St & Huron St,17,4,2,3.400218427685146
Wilton Ave & Diversey Pkwy,13,5,1,1.7640079232284211
Western Ave & 24th St,14,4,1,1.1130107504392892
Bissell St & Armitage Ave,11,5,1,1.2809868551081613
LaSalle St & Illinois St,18,3,1,2.6740571357606955
Milwaukee Ave & Grand Ave,13,1,1,1.2374800627750784
Lincoln Ave & Belle Plaine Ave,21,6,1,1.08447792672849
Aberdeen St & Monroe St,22,0,1,1.0672235638859504
Clark St & Drummond Pl,22,1,1,1.1223548889362167
Dearborn St & Monroe St,19,0,3,1.9631428962224136
Clark St & Newport St,11,5,1,1.3918423234861665
Damen Ave & Chicago Ave,21,3,1,1.176049537721111
Delano Ct & Roosevelt Rd,14,3,1,1.1260802879226002
Benson Ave & Church St,13,3,1,1.093768551532907
Western Ave & Grace St,13,3,1,1.0934088198440615
Green St & Madison St,19,3,2,1.3207250223703957
Damen Ave & Sunnyside Ave,16,5,1,1.3665205387852737
Ada St & Washington Blvd,14,3,1,1.1636216606488379
Chicago Ave & Sheridan Rd,17,3,1,1.205841167597829
DuSable Lake Shore Dr & North Blvd,9,6,1,1.1619400496123993
California Ave & Byron St,14,1,1,1.1029641334993479
Financial Pl & Ida B Wells Dr,12,5,1,1.2064119335083656
Michigan Ave & Washington St,6,5,1,1.0641537982285079
May St & Taylor St,8,2,1,1.1467808915995599
Dearborn St & Van Buren St,12,0,1,1.2804048646748756
Ashland Ave & Grand Ave,6,0,2,1.0764376537711555
Cityfront Plaza Dr & Pioneer Ct,17,6,1,1.2124033255679365
Damen Ave & Clybourn Ave,12,6,1,1.1637987878218223
Broadway & Waveland Ave,9,0,1,1.3138326172029255
Ellis Ave & 60th St,22,6,1,1.166179939387701
Greenview Ave & Fullerton Ave,13,3,1,1.972160367329329
Halsted St & Clybourn Ave,6,4,1,1.0917810297387265
Ogden Ave & Roosevelt Rd,17,5,1,1.2332360077474673
Canal St & Adams St,2,5,1,1.4304194546807283
Daley Center Plaza,12,2,2,1.4830152780196773
LaSalle St & Jackson Blvd,15,2,1,1.6114899791287847
Halsted St & Roscoe St,1,3,1,1.0316100566100566
Sheridan Rd & Irving Park Rd,12,4,3,1.646277457054421
Ellis Ave & 58th St,13,6,1,1.7054883445212203
Sheridan Rd & Irving Park Rd,10,5,4,1.4471691554997492
May St & Taylor St,18,2,2,1.3658581951637816
Paulina Ave & North Ave,9,5,1,1.112095819243599
Wells St & Walton St,20,2,3,1.217733256199602
State St & Randolph St,15,4,1,1.4238250514379924
Halsted St & Archer Ave,23,5,1,1.0895108182699647
Wells St & Polk St,12,0,1,1.1898392037244134
Federal St & Polk St,3,1,1,1.0795990006725302
Kedzie Ave & Palmer Ct,7,0,1,1.141390267863524
Halsted St & Polk St,12,6,2,1.63662417902315
Western Ave & Leland Ave,20,3,1,1.2805486705978766
Clark St & Schiller St,7,1,2,2.111272109821503
Greenview Ave & Diversey Pkwy,10,6,1,1.161309581423132
Pine Grove Ave & Irving Park Rd,1,5,1,1.455554197441611
Damen Ave & Clybourn Ave,17,5,1,1.2332360077474673
Eckhart Park,23,6,1,1.0580590093342723
Paulina Ave & North Ave,8,5,1,1.0867714563416535
Lincoln Ave & Diversey Pkwy,8,3,2,1.3811918410315849
Green St & Madison St,17,6,1,1.4109247144846069
Indiana Ave & Roosevelt Rd,5,1,2,1.2896447447511905
Cannon Dr & Fullerton Ave,16,0,1,1.2160108902801965
Wolcott (Ravenswood) Ave & Montrose Ave,18,6,1,1.1546906381751025
Damen Ave & Cortland St,18,1,1,1.2410652092606973
Lake Park Ave & 56th St,15,4,1,1.3236908633882039
Halsted St & Roscoe St,17,1,2,1.5277166138433271
Cornell Ave & Hyde Park Blvd,0,1,1,1.023155064959899
Kedzie Ave & Milwaukee Ave,16,2,1,1.1584842669532414
Orleans St & Merchandise Mart Plaza,17,4,2,2.2328701437451426
Mies van der Rohe Way & Chestnut St,17,6,2,1.2115033995816709
Damen Ave & Thomas St (Augusta Blvd),17,5,1,1.2332360077474673
Sheffield Ave & Wellington Ave,16,0,1,1.2011333800135675
Wells St & Huron St,17,3,1,3.3217056071723254
LaSalle Dr & Huron St,18,0,1,2.0359075949308996
Western Ave & Winnebago Ave,10,4,1,1.1775982029079355
Orleans St & Chestnut St (NEXT Apts),19,2,2,1.5913315890764232
Clark St & Schiller St,21,6,1,1.0873852300992766
Damen Ave & Charleston St,19,1,1,1.2165641304100412
McClurg Ct & Ohio St,5,1,2,1.506263920995294
DuSable Lake Shore Dr & Belmont Ave,8,1,1,1.1934736850111407
Aberdeen St & Jackson Blvd,11,4,1,1.2657782143681944
DuSable Lake Shore Dr & Belmont Ave,20,0,1,1.1316085252439856
State St & 33rd St,23,6,1,1.0580590093342723
Clark St & Bryn Mawr Ave,11,3,1,1.1760711740345966
Larrabee St & Webster Ave,19,0,1,1.1934998245530248
Chicago Ave & Sheridan Rd,10,1,2,1.0873523903410294
Damen Ave & Thomas St (Augusta Blvd),5,6,1,1.093192731447508
Clark St & Chicago Ave,22,5,1,1.2192010282967645
Halsted St & Clybourn Ave,19,2,4,1.3223047254293399
Halsted St & Willow St,2,5,1,1.42737785814813
Desplaines St & Randolph St,22,3,1,1.1330077511872938
Michigan Ave & Madison St,19,6,1,1.168613682374783
Eastlake Ter & Rogers Ave,7,2,1,1.1507595487997422
Kimball Ave & Belmont Ave,1,5,2,1.455554197441611
Wabash Ave & Adams St,10,5,1,1.1638025085324089
Clark St & Columbia Ave,7,3,1,1.1478595573048285
Western Ave & Roscoe St,15,1,1,1.2431867123812987
Bissell St & Armitage Ave,17,5,1,1.2435357312063513
Desplaines St & Randolph St,16,1,1,2.6312850069472504
Clark St & Wellington Ave,18,6,2,1.1645654313453186
Halsted St & Wrightwood Ave,15,5,1,1.4161938329125854
Michigan Ave & Lake St,17,3,3,2.5511458652716392
Ogden Ave & Race Ave,14,0,1,1.2260898414619714
Sheffield Ave & Kingsbury St,19,6,2,1.1836926725886476
Michigan Ave & Lake St,6,5,2,1.162230633429932
Ashland Ave & Grace St,17,3,1,1.4134698274646353
Bernard St & Elston Ave,7,1,1,1.1772841211055844
Fairbanks Ct & Grand Ave,7,3,1,1.6732310035863514
Ashland Ave & Lake St,9,5,2,1.1131036368867853
Glenwood Ave & Morse Ave,13,3,1,1.1097759910170693
Bissell St & Armitage Ave,21,3,1,1.2035341900966448
Damen Ave & Pierce Ave,13,1,1,1.512021060071656
Paulina St & Flournoy St,17,1,3,2.312653453641654
Broadway & Belmont Ave,8,1,1,1.547144399433025
Lincoln Park Conservatory,15,4,1,1.327575478772819
California Ave & Milwaukee Ave,15,6,1,1.277162980156938
Orleans St & Chestnut St (NEXT Apts),13,3,1,1.1528188812205107
Larrabee St & Menomonee St,18,4,1,1.1857912722110975
Field Museum,14,2,2,1.2265895724482028
Dearborn St & Adams St,14,1,1,1.4399426952214947
Stockton Dr & Wrightwood Ave,6,3,1,1.1738923583135512
Calumet Ave & 51st St,12,5,1,1.1873708713176052
Ogden Ave & Chicago Ave,17,4,1,1.3390261998029234
Columbus Dr & Randolph St,23,4,1,1.1572451003825823
Cottage Grove Ave & 63rd St,17,0,1,1.2164119640503555
Clark St & Elm St,13,5,3,2.3609045683848318
Wabash Ave & 9th St,8,6,1,1.1663709828346365
Fairbanks St & Superior St,0,0,1,1.0640654194098604
N Green St & W Lake St,19,6,1,1.168613682374783
900 W Harrison St,14,5,1,1.3311011954148921
State St & 123rd St,9,0,1,1.1056251763354359
California Ave & Milwaukee Ave,11,1,1,1.1573802150180286
New St & Illinois St,23,2,1,1.2016001751227257
Desplaines St & Kinzie St,8,3,2,2.031061435038989
Halsted St & Clybourn Ave,9,0,2,1.446093001630013
Wells St & Hubbard St,16,0,4,2.2309207565665363
Paulina St & Howard St,15,3,1,1.3353064717135374
Broadway & Ridge Ave,4,2,1,1.0384833730320373
Malcolm X College Vaccination Site,16,0,1,1.2160108902801965
Damen Ave & Thomas St (Augusta Blvd),10,5,1,1.1493524103503279
Orleans St & Elm St,8,4,1,1.1081963699792168
Ritchie Ct & Banks St,10,0,1,1.13270643884517
Clark St & Chicago Ave,15,6,1,1.2707213464163583
Halsted St & Clybourn Ave,12,6,1,1.5293212461863643
Halsted St & Roscoe St,11,6,1,1.4054739529785718
State St & 29th St,18,1,1,1.223600637410703
Western Ave & Winnebago Ave,16,4,2,1.2146930043585833
Sedgwick St & Schiller St,19,6,1,1.168613682374783
Clinton St & Madison St,8,0,7,3.659308664845497
Cityfront Plaza Dr & Pioneer Ct,14,4,2,1.4421989728418187
Southport Ave & Wellington Ave,6,3,1,1.131417778763107
Desplaines St & Kinzie St,8,0,3,1.9207659153282222
Orleans St & Chestnut St (NEXT Apts),16,0,2,1.3021364008768983
Loomis St & Lexington St,5,3,1,1.6023711132393945
Lincoln Ave & Diversey Pkwy,10,5,1,1.3131883642722653
Southport Ave & Irving Park Rd,6,1,1,1.421523361161424
Elston Ave & Cortland St,16,6,1,1.2525335362061483
Clinton St & Washington Blvd,16,4,7,3.648776317334046
Mies van der Rohe Way & Chicago Ave,10,5,1,1.1226279592286388
Streeter Dr & Grand Ave,16,0,4,1.3186256499634024
Sheffield Ave & Fullerton Ave,17,0,2,2.377298830792717
Sheffield Ave & Fullerton Ave,14,5,2,1.9762376756744109
Sedgwick St & Huron St,7,4,2,1.343200212960914
Clark St & Lincoln Ave,12,1,1,1.2722982033356594
Honore St & Division St,18,1,1,1.2576128226268561
Damen Ave & Pierce Ave,18,4,4,1.8447218794101878
McClurg Ct & Erie St,21,0,2,1.1831589301278216
Ellis Ave & 60th St,17,4,2,2.4973877693084354
Streeter Dr & Grand Ave,16,0,3,1.3186256499634024
Kingsbury St & Erie St,16,5,1,1.3814521237610966
Milwaukee Ave & Wabansia Ave,18,6,1,1.1546906381751025
Broadway & Barry Ave,19,3,5,1.7927382826248888
Pine Grove Ave & Irving Park Rd,21,3,1,1.1658718593068356
Halsted St & Willow St,11,6,1,1.296002743599515
Wentworth Ave & 33rd St,10,5,1,1.1211399063623384
Larrabee St & Menomonee St,8,3,2,1.1989448948997716
Smith Park,11,1,1,1.1159638414156867
Marine Dr & Ainslie St,18,2,1,1.1046043000432102
Paulina St & Flournoy St,14,1,1,1.2633656615310445
Damen Ave & Cortland St,7,5,1,1.1118924147621494
Blackstone Ave & Hyde Park Blvd,8,0,1,1.1598397726120002
Ellis Ave & 53rd St,13,6,1,1.3822010549080488
Logan Blvd & Elston Ave,21,4,1,1.1270309619
Western Ave & Leland Ave,16,4,1,1.2819567052436183
Fairbanks St & Superior St,11,3,3,1.3326622947828186
Drake Ave & Addison St,23,1,1,1.034848128998207
Dusable Harbor,7,2,1,1.175100667039291
Wood St & Taylor St (Temp),14,4,1,1.1274779380781368
State St & Kinzie St,16,3,1,1.7461398875546847
Orleans St & Chestnut St (NEXT Apts),19,2,2,1.5913315890764232
Larrabee St & Division St,14,6,1,1.5511473114300955
Damen Ave & Thomas St (Augusta Blvd),18,0,1,1.239005406211261
Kedzie Ave & Harrison St,13,5,1,1.1893541484836443
Ellis Ave & 53rd St,12,2,1,1.3788768613916136
Sheffield Ave & Fullerton Ave,15,1,3,1.7633913877139176
Halsted St & North Branch St,5,0,1,1.0397060773604536
Orleans St & Merchandise Mart Plaza,19,2,1,1.2886018119537024
Clark St & Wellington Ave,15,2,1,1.346287977357003
Wells St & Concord Ln,9,1,1,1.945705638377763
Morgan St & Polk St,16,4,1,2.100788468148866
Desplaines St & Jackson Blvd,17,4,4,2.5619219034749228
Clinton St & Jackson Blvd,7,1,8,4.041846838275244
Larrabee St & Division St,10,5,1,1.1296807094211316
Michigan Ave & 18th St,21,1,1,1.1696041250413338
Harper Ave & 59th St,6,1,1,1.1094787345695813
Kimbark Ave & 53rd St,12,1,1,1.1804627763396265
Lincoln Ave & Diversey Pkwy,17,4,2,2.06421717301464
Seeley Ave & Roscoe St,18,2,1,1.1109417031439852
Theater on the Lake,11,2,1,1.168499611458091
Lincoln Ave & Roscoe St,18,6,1,1.1738944728877123
Wabash Ave & Roosevelt Rd,8,1,1,1.4833049278359878
Clark St & Leland Ave,15,1,1,1.2450253367199233
Aberdeen St & Monroe St,11,0,1,1.2922447728134725
Wabash Ave & Grand Ave,18,1,2,2.1786394211440583
University Ave & 57th St,16,1,1,3.7231081712405234
Ashland Ave & Division St,11,1,1,1.8967380046055322
Ashland Ave & 13th St,18,2,1,1.095527986655583
Morgan Ave & 14th Pl,17,5,1,1.2332360077474673
Calumet Ave & 18th St,9,4,1,1.139927570923291
Damen Ave & Thomas St (Augusta Blvd),6,4,2,1.6866910523940262
Columbus Dr & Randolph St,4,4,1,1.3430084358366097
Lakeview Ave & Fullerton Pkwy,14,1,2,1.3665048767685346
Damen Ave & Charleston St,17,1,2,1.2469122858424375
Ellis Ave & 55th St,13,1,4,2.1453943811176783
Broadway & Granville Ave,13,1,2,1.1023900241667632
Wells St & Evergreen Ave,8,3,3,1.579117729783363
Damen Ave & Walnut (Lake) St,16,3,2,1.5394735896462195
Dusable Harbor,18,5,2,1.3005497913481776
Clinton St & Lake St,22,3,2,1.2153890335357298
Dearborn St & Van Buren St,14,4,2,1.3319191234954115
Financial Pl & Ida B Wells Dr,13,3,1,1.1073529146267351
Milwaukee Ave & Grand Ave,17,6,2,1.2496411647200518
Dearborn St & Monroe St,10,4,1,1.2476688709950365
California Ave & North Ave,11,0,1,1.1342401133335964
Wells St & Hubbard St,10,5,1,1.3549925621347845
Eastlake Ter & Rogers Ave,2,4,1,1.0495431939505366
Ellis Ave & 60th St,10,3,1,2.19155918041367
Western Ave & Winnebago Ave,0,4,1,1.048962060164757
Sheridan Rd & Montrose Ave,13,6,1,1.428950241047802
Broadway & Wilson - Truman College Vaccination Site,20,3,1,1.165688410274996
Morgan Ave & 14th Pl,17,4,1,1.1133522322745446
Stetson Ave & South Water St,15,4,2,1.397303173909739
Clark St & Ida B Wells Dr,17,1,1,1.8084676813232736
Halsted St & Dickens Ave,12,3,1,1.2573397857712612
Lincoln Ave & Belle Plaine Ave,18,1,1,1.227960938632486
Elizabeth (May) St & Fulton St,10,6,1,1.1779625270636975
Green St & Randolph St,17,6,1,1.3701396155989713
Ashland Ave & Grand Ave,19,5,1,1.2314323412467694
Franklin St & Chicago Ave,7,1,3,2.0039680319526316
State St & Van Buren St,17,5,1,1.2332360077474673
Ashland Ave & Chicago Ave,21,3,1,1.1765587957925099
Aberdeen St & Randolph St,14,5,1,1.1654611674990039
Paulina St & Flournoy St,18,0,1,1.774888844829046
Lincoln Ave & Belle Plaine Ave,11,5,2,1.2171527798458472
Damen Ave & Pierce Ave,11,0,1,1.183346098100109
Southport Ave & Clybourn Ave,18,5,1,1.3422485312795454
LaSalle St & Jackson Blvd,16,1,3,2.695818204671146
Racine Ave & 18th St,19,5,1,1.2314323412467694
Damen Ave & Pershing Rd,18,5,1,1.2905777742048243
Bissell St & Armitage Ave,11,5,1,1.2809868551081613
Western Ave & Fillmore St,18,1,1,1.1938594567539247
Canal St & Monroe St,20,1,1,1.2049211539421527
Michigan Ave & 14th St,19,4,1,1.17230086847941
